,FROMSYMBOL,TOSYMBOL,MARKET,PRICE,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,LASTTRADEID,VOLUMEDAY,VOLUMEDAYTO,VOLUME24HOUR,VOLUME24HOURTO,OPENDAY,HIGHDAY,LOWDAY,OPEN24HOUR,HIGH24HOUR,LOW24HOUR,LASTMARKET,VOLUMEHOUR,VOLUMEHOURTO,OPENHOUR,HIGHHOUR,LOWHOUR,TOPTIERVOLUME24HOUR,TOPTIERVOLUME24HOURTO,CHANGE24HOUR,CHANGEPCT24HOUR,CHANGEDAY,CHANGEPCTDAY,CHANGEHOUR,CHANGEPCTHOUR,CONVERSIONTYPE,CONVERSIONSYMBOL,SUPPLY,MKTCAP,TOTALVOLUME24H,TOTALVOLUME24HTO,TOTALTOPTIERVOLUME24H,TOTALTOPTIERVOLUME24HTO,IMAGEURL
0,AION,$,CryptoCompare Index,$ 0.1125,Just now,AION 52.00,$ 5.85,6687271,"AION 5,403,417.9","$ 607,754.1","AION 7,984,484.2","$ 898,061.7",$ 0.1119,$ 0.1143,$ 0.1097,$ 0.1142,$ 0.1162,$ 0.1097,Binance,"AION 140,037.8","$ 15,750.9",$ 0.1133,$ 0.1137,$ 0.1121,"AION 7,817,976.9","$ 879,333.7",$ -0.0017,-1.52,$ 0.00058,0.52,$ -0.00087,-0.77,multiply,BTC,"AION 33,098,296,530.0",$ 3.72 B,AION 16.13 M,$ 1.81 M,AION 15.90 M,$ 1.79 M,/media/36569343/_thumb_36017.png
0,NYE,$,CryptoCompare Index,$ 9.41,Just now,NYE 9.32,$ 87.69,2c9f9f67727cf22501728a5304e95515,NYE 18.65,$ 175.38,"NYE 84,607.3","$ 795,743.6",$ 9.63,$ 9.63,$ 9.41,$ 9.57,$ 9.63,$ 9.41,Catex,NYE 0,$ 0,$ 9.41,$ 9.41,$ 9.41,NYE 0,$ 0,$ -0.16,-1.71,$ -0.22,-2.30,$ 0.0,0.00,multiply,BTC,"NYE 373,501,350.8",$ 3.51 B,NYE 380.08 K,$ 3.57 M,NYE 0,$ 0,/media/35651475/nye.png
0,BSV,$,CryptoCompare Index,$ 194.32,3 min ago,BSV 1.13,$ 219.77,456107841,BSV 669.77,"$ 129,989.0","BSV 1,357.83","$ 264,070.3",$ 194.82,$ 195.42,$ 193.08,$ 194.55,$ 195.74,$ 192.96,Bitfinex,BSV 0,$ 0,$ 194.32,$ 194.32,$ 194.32,"BSV 1,357.83","$ 264,070.3",$ -0.23,-0.12,$ -0.50,-0.26,$ 0.0,0.00,direct,,"BSV 18,426,239.6",$ 3.58 B,BSV 331.74 K,$ 64.46 M,BSV 297.94 K,$ 57.90 M,/media/35309257/bsv1.png
0,CTAG,$,CryptoCompare Index,$ 0.7776,8 min ago,CTAG 855.85,$ 665.55,217417531,"CTAG 146,855.2","$ 113,922.1","CTAG 209,991.6","$ 162,899.1",$ 0.7745,$ 0.7792,$ 0.7722,$ 0.7761,$ 0.7792,$ 0.7722,Coinsbit,CTAG 0,$ 0,$ 0.7776,$ 0.7776,$ 0.7776,CTAG 0,$ 0,$ 0.0015,0.19,$ 0.0031,0.40,$ 0.0,0.00,direct,,"CTAG 4,000,000,000.0",$ 3.11 B,CTAG 209.99 K,$ 162.90 K,CTAG 0,$ 0,/media/36798582/ctag.png
0,Ł,$,CryptoCompare Index,$ 46.93,Just now,Ł 5.00,$ 234.65,45249062,"Ł 90,184.5","$ 4,209,046.8","Ł 135,330.8","$ 6,335,574.8",$ 46.81,$ 47.17,$ 46.21,$ 47.30,$ 47.50,$ 46.06,Coinbase,Ł 77.86,"$ 3,656.28",$ 46.98,$ 46.99,$ 46.93,"Ł 122,158.4","$ 5,718,860.8",$ -0.37,-0.78,$ 0.12,0.26,$ -0.050,-0.11,direct,,"Ł 65,182,345.5",$ 3.06 B,Ł 2.45 M,$ 114.80 M,Ł 1.80 M,$ 84.52 M,/media/35309662/ltc.png
0,EOS,$,CryptoCompare Index,$ 2.82,Just now,EOS 135.84,$ 382.23,456112687,"EOS 685,212.4","$ 1,933,864.0","EOS 1,326,882.1","$ 3,758,918.4",$ 2.82,$ 2.84,$ 2.80,$ 2.83,$ 2.87,$ 2.79,Bitfinex,EOS 438.11,"$ 1,235.01",$ 2.82,$ 2.82,$ 2.82,"EOS 1,326,766.7","$ 3,758,598.5",$ -0.015,-0.53,$ 0.0010,0.04,$ -0.0080,-0.28,direct,,"EOS 1,020,544,523.1",$ 2.87 B,EOS 83.81 M,$ 236.04 M,EOS 62.74 M,$ 176.71 M,/media/1383652/eos_1.png
0,BNB,$,CryptoCompare Index,$ 17.68,Just now,BNB 14.89,$ 263.31,217426633,"BNB 145,987.1","$ 2,581,913.6","BNB 170,949.5","$ 3,024,490.6",$ 17.68,$ 17.89,$ 17.50,$ 17.75,$ 18.08,$ 17.50,Coinsbit,BNB 382.12,"$ 6,773.66",$ 17.77,$ 17.87,$ 17.65,"BNB 6,976.97","$ 123,187.2",$ -0.070,-0.39,$ 0.0,0.00,$ -0.090,-0.51,direct,,"BNB 155,536,713.0",$ 2.75 B,BNB 4.36 M,$ 77.01 M,BNB 3.28 M,$ 58.05 M,/media/1383947/bnb.png
0,GAPS,$,CryptoCompare Index,$ 1.37,Just now,GAPS 298.57,$ 409.55,15914593140001,"GAPS 122,890.3","$ 168,569.1","GAPS 172,014.2","$ 235,952.5",$ 1.37,$ 1.40,$ 1.36,$ 1.39,$ 1.40,$ 1.36,Bitforex,"GAPS 3,839.67","$ 5,266.89",$ 1.36,$ 1.37,$ 1.36,GAPS 0,$ 0,$ -0.014,-1.04,$ 0.0029,0.21,$ 0.0077,0.57,multiply,BTC,"GAPS 2,000,000,000.0",$ 2.74 B,GAPS 1.08 M,$ 1.48 M,GAPS 0,$ 0,/media/35651651/gaps.png
0,HEDG,$,CryptoCompare Index,$ 2.43,Just now,HEDG 228.00,$ 555.12,863596895,"HEDG 131,372.8","$ 319,856.8","HEDG 179,668.5","$ 437,443.6",$ 2.52,$ 2.54,$ 2.40,$ 2.58,$ 2.59,$ 2.40,HitBTC,HEDG 0,$ 0,$ 2.43,$ 2.43,$ 2.43,"HEDG 179,668.5","$ 437,443.6",$ -0.14,-5.57,$ -0.083,-3.30,$ 0.0,0.00,multiply,BTC,"HEDG 1,000,000,000.1",$ 2.43 B,HEDG 181.11 K,$ 440.94 K,HEDG 179.67 K,$ 437.44 K,/media/35309585/hedg.png
0,XTZ,$,CryptoCompare Index,$ 2.95,Just now,XTZ 100.41,$ 295.56,1591459326.6262,"XTZ 767,680.6","$ 2,249,729.3","XTZ 1,407,462.3","$ 4,133,885.1",$ 2.94,$ 2.97,$ 2.91,$ 2.97,$ 2.98,$ 2.90,Kraken,"XTZ 7,930.63","$ 23,383.9",$ 2.95,$ 2.95,$ 2.95,"XTZ 1,407,462.3","$ 4,133,885.1",$ -0.023,-0.77,$ 0.010,0.34,$ -0.0050,-0.17,direct,,"XTZ 810,904,882.0",$ 2.39 B,XTZ 8.95 M,$ 26.36 M,XTZ 8.82 M,$ 25.96 M,/media/35651213/tezos-logo.png
